State,Gender,Year,Name,Count
CA,F,1989,Kelly,920
CA,F,1990,Kelly,929
CA,F,1991,Kelly,785
CA,F,1992,Kelly,800
CA,F,1993,Kelly,703
CA,F,1994,Kelly,682
CA,F,1995,Kelly,686
CA,F,1996,Kelly,583
CA,F,1997,Kelly,568
CA,F,1998,Kelly,498
CA,F,1999,Kelly,494
CA,F,2000,Kelly,521
CA,F,2001,Kelly,429
CA,F,2002,Kelly,508
CA,F,2003,Kelly,507
CA,F,2004,Kelly,427
CA,F,2005,Kelly,377
CA,F,2006,Kelly,264
CA,F,2007,Kelly,288
CA,F,2008,Kelly,239
CA,F,2009,Kelly,226
CA,F,2010,Kelly,188
CA,F,2011,Kelly,155
CA,F,2012,Kelly,168
CA,F,2013,Kelly,168
CA,F,2014,Kelly,142
CA,F,2015,Kelly,117
CA,F,2016,Kelly,103
CA,M,1989,Kelly,81
CA,M,1990,Kelly,92
CA,M,1991,Kelly,71
CA,M,1992,Kelly,56
CA,M,1993,Kelly,65
CA,M,1994,Kelly,45
CA,M,1995,Kelly,49
CA,M,1996,Kelly,41
CA,M,1997,Kelly,31
CA,M,1998,Kelly,40
CA,M,1999,Kelly,20
CA,M,2000,Kelly,23
CA,M,2001,Kelly,16
CA,M,2002,Kelly,12
CA,M,2003,Kelly,20
CA,M,2004,Kelly,17
CA,M,2005,Kelly,16
CA,M,2006,Kelly,20
CA,M,2007,Kelly,20
CA,M,2008,Kelly,13
CA,M,2009,Kelly,17
CA,M,2010,Kelly,16
CA,M,2011,Kelly,10
CA,M,2012,Kelly,9
CA,M,2013,Kelly,12
CA,M,2014,Kelly,18
CA,M,2015,Kelly,9
CA,M,2016,Kelly,16
